step,nta,cat,s,e,is,ia,r,d
0,BX09,m,0.0,0.0,0.0,0.0,0.0,0.0
0,BX09,c,16016.686262153693,0.0,0.0,0.0,0.0,0.0
0,BX09,i,15152.244089721713,0.0,0.0,0.0,0.0,0.0
0,BX09,h,22517.069648124594,0.0,0.0,0.0,0.0,0.0
0,BX10,m,0.0,0.0,0.0,0.0,0.0,0.0
0,BX10,c,7930.774706754678,0.0,0.0,0.0,0.0,0.0
0,BX10,i,7502.740093079617,0.0,0.0,0.0,0.0,0.0
0,BX10,h,11149.485200165705,0.0,0.0,0.0,0.0,0.0
0,BX13,m,1622.164715719475,0.0,0.0,0.0,0.0,0.0
0,BX13,c,11430.811057140272,0.0,0.0,0.0,0.0,0.0
0,BX13,i,12348.489055126185,0.0,0.0,0.0,0.0,0.0
0,BX13,h,18350.535172014068,0.0,0.0,0.0,0.0,0.0
0,BX14,m,6685.75661241366,0.0,0.0,0.0,0.0,0.0
0,BX14,c,11896.057774055449,0.0,0.0,0.0,0.0,0.0
0,BX14,i,17578.9287874721,0.0,0.0,0.0,0.0,0.0
0,BX14,h,26123.256826058787,0.0,0.0,0.0,0.0,0.0
0,BX17,m,3267.820803179938,0.0,0.0,0.0,0.0,0.0
0,BX17,c,9687.001078902911,0.0,0.0,0.0,0.0,0.0
0,BX17,i,12255.63266229531,0.0,0.0,0.0,0.0,0.0
0,BX17,h,18212.54545562184,0.0,0.0,0.0,0.0,0.0
0,BX22,m,0.0,0.0,0.0,0.0,0.0,0.0
0,BX22,c,8311.755006213945,0.0,0.0,0.0,0.0,0.0
0,BX22,i,7863.158371635937,0.0,0.0,0.0,0.0,0.0
0,BX22,h,11685.086622150116,0.0,0.0,0.0,0.0,0.0
0,BX26,m,3826.4338471659794,0.0,0.0,0.0,0.0,0.0
0,BX26,c,7429.042862074278,0.0,0.0,0.0,0.0,0.0
0,BX26,i,10648.003441733992,0.0,0.0,0.0,0.0,0.0
0,BX26,h,15823.51984902575,0.0,0.0,0.0,0.0,0.0
0,BX27,m,981.2131024943869,0.0,0.0,0.0,0.0,0.0
0,BX27,c,7134.830802352856,0.0,0.0,0.0,0.0,0.0
0,BX27,i,7678.010062526348,0.0,0.0,0.0,0.0,0.0
0,BX27,h,11409.946032626409,0.0,0.0,0.0,0.0,0.0
0,BX28,m,4445.315289093208,0.0,0.0,0.0,0.0,0.0
0,BX28,c,10501.52339760165,0.0,0.0,0.0,0.0,0.0
0,BX28,i,14140.137631692765,0.0,0.0,0.0,0.0,0.0
0,BX28,h,21013.02368161238,0.0,0.0,0.0,0.0,0.0
0,BX29,m,2500.824725314273,0.0,0.0,0.0,0.0,0.0
0,BX29,c,6497.410836150868,0.0,0.0,0.0,0.0,0.0
0,BX29,i,8512.58864489991,0.0,0.0,0.0,0.0,0.0
0,BX29,h,12650.17579363495,0.0,0.0,0.0,0.0,0.0
0,BX30,m,3223.2829198597747,0.0,0.0,0.0,0.0,0.0
0,BX30,c,6471.576760037153,0.0,0.0,0.0,0.0,0.0
0,BX30,i,9171.615019550662,0.0,0.0,0.0,0.0,0.0
0,BX30,h,13629.525300552414,0.0,0.0,0.0,0.0,0.0
0,BX31,m,2610.917838374907,0.0,0.0,0.0,0.0,0.0
0,BX31,c,6012.005885408355,0.0,0.0,0.0,0.0,0.0
0,BX31,i,8157.532893589142,0.0,0.0,0.0,0.0,0.0
0,BX31,h,12122.543382627595,0.0,0.0,0.0,0.0,0.0
0,BX33,m,3399.572385658655,0.0,0.0,0.0,0.0,0.0
0,BX33,c,4415.74470489341,0.0,0.0,0.0,0.0,0.0
0,BX33,i,7393.5138802360025,0.0,0.0,0.0,0.0,0.0
0,BX33,h,10987.169029211931,0.0,0.0,0.0,0.0,0.0
0,BX34,m,4007.3876833853933,0.0,0.0,0.0,0.0,0.0
0,BX34,c,7691.7207449589605,0.0,0.0,0.0,0.0,0.0
0,BX34,i,11067.691758267469,0.0,0.0,0.0,0.0,0.0
0,BX34,h,16447.19981338818,0.0,0.0,0.0,0.0,0.0
0,BX35,m,2560.820926758768,0.0,0.0,0.0,0.0,0.0
0,BX35,c,8735.826715390947,0.0,0.0,0.0,0.0,0.0
